"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"22","DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA","899999020","NACIONAL",,,,,,,"NO APLICA","FUNCIÓN PÚBLICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","124","154","1","9","0","61","0","0","7","2","25","104","93","52","4","25","155","63","21","9","5","2","6,011,826,521,582"
"23","ADMINISTRACION PUBLICA COOPERATIVA DEL MUNICIPIO DE ENCINO","900301723","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1,580,158,000,000"
"25","AEROPUERTO MATECAÑA","891480014","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","2","0","0","0","0","0","0","0","0","0","1","2","2","0","0","1","2","2","0","0","0","4,492,270,400,000"
"27","SUPERINTENDENCIA DE NOTARIADO Y REGISTRO","899999007","NACIONAL",,,,,,,"NO APLICA","JUSTICIA Y DEL DERECHO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","865","1222","8","386","0","503","0","0","2","3","94","323","588","768","314","114","380","535","359","271","428","12","4,155,212,638,715"
"28","SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR","860503600","NACIONAL",,,,,,,"NO APLICA","TRABAJO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","58","58","1","13","0","20","0","0","1","1","5","27","41","37","6","12","51","30","11","10","2","1","6,939,705,301,724"
"29","SUPERINTENDENCIA NACIONAL DE SALUD","860062187","NACIONAL",,,,,,,"NO APLICA","SALUD Y PROTECCIÓN SOCIAL","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","392","648","1","51","0","120","0","0","11","0","64","282","358","287","49","64","427","362","117","57","13","8","5,121,421,567,307"
"30","SUPERINTENDENCIA DE SOCIEDADES","899999086","NACIONAL",,,,,,,"NO APLICA","COMERCIO INDUSTRIA Y TURISMO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","269","367","0","58","0","110","0","0","2","0","57","167","180","159","73","34","246","153","87","70","46","3","4,384,836,808,176"
"31","SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO","800176089","NACIONAL",,,,,,,"NO APLICA","COMERCIO INDUSTRIA Y TURISMO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","172","270","2","33","0","118","0","0","7","2","32","140","129","115","26","24","152","145","64","46","11","0","3,644,038,529,411"
"32","UNIDAD ADMINISTRATIVA ESPECIAL DE ORGANIZACIONES SOLIDARIAS","899999050","NACIONAL",,,,,,,"NO APLICA","TRABAJO","DESCENTRALIZADO","ADSCRITAS","UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","23","37","0","3","0","18","0","0","1","0","4","11","26","15","4","10","20","16","10","2","2","1","4,986,369,950,000"
"33","SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS","800250984","NACIONAL",,,,,,,"NO APLICA","PLANEACIÓN","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","351","454","0","31","0","156","0","0","4","1","79","270","242","185","29","17","438","219","78","31","22","2","5,683,420,839,751"
"34","SUPERINTENDENCIA DE TRANSPORTE","800170433","NACIONAL",,,,,,,"NO APLICA","TRANSPORTE","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","75","104","0","17","0","36","0","0","0","0","18","66","39","42","14","7","93","36","23","17","3","0","4,752,948,318,435"
"36","EMPRESA DE SERVICIOS PUBLICOS AGUAS DEL CESAR S.A","900149163","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","17","15","0","2","0","8","0","0","1","0","1","11","15","3","2","2","16","13","1","0","0","0","9,558,957,000,000"
"38","AGUAS Y ASEO DE SUBACHOQUE S.A","900322539","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","3","3","9","0","0","0","0","0","2","0","3","5","6","2","2","3","6","2","3","0","2","0"
"39","ALCALDIA DISTRITAL DE BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","890102018","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","647","711","1","143","0","381","0","0","3","132","56","364","476","354","108","335","465","344","116","81","17","174","4,037,603,560,382"
"40","ALCALDIA DE MAICAO","892120020","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","28","39","2","11","0","21","0","0","0","12","6","23","11","19","8","30","28","6","1","2","0","17","2,123,417,059,701"
"41","ALCALDIA DE PALMAR DE VARELA ATLANTICO","800068444","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","6","0","3","0","6","0","0","0","1","1","4","2","4","1","2","7","1","0","2","0","1","1,751,263,666,666"
"42","ALCALDIA DE SILVIA","800095986","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","17","1","7","0","12","0","0","0","0","1","4","8","16","0","1","12","5","6","5","0","0","1,841,039,931,034"
"43","ALCALDIA DISTRITAL DE SANTA MARTA, DISTRITO TURISTICO, CULTURAL E HISTORICO","891780009","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","115","116","0","36","0","42","0","0","3","1","9","73","64","64","21","20","100","57","25","24","5","2","4,435,713,099,567"
"45","ALCALDIA DE BELEN DE LOS ANDAQUIES","800095134","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","9","0","1","0","7","0","0","0","0","1","7","3","1","0","5","5","1","0","1","0","2","1,347,723,500,000"
"46","ALCALDIA DE BARANOA","890112371","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","29","24","1","17","0","10","0","0","0","13","0","4","9","26","14","14","10","15","5","8","1","14","1,555,683,867,924"
"47","ALCALDIA DE SAN LUIS DE PALENQUE","800103720","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","17","1","9","0","10","0","0","0","0","4","9","11","6","0","6","13","5","4","2","0","0","1,999,864,433,333"
"48","ALCALDIA DE ABEJORRAL","890981195","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","11","0","4","0","0","0","0","0","2","1","4","4","6","0","3","5","4","1","2","0","2","1,837,873,200,000"
"49","ALCALDIA DE ABREGO","890504612","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","7","0","3","0","2","0","0","0","0","0","2","3","3","2","1","1","3","1","4","0","0","1,819,358,400,000"
"50","ALCALDIA DE ABRIAQUI","890981251","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","5","4","0","2","0","0","0","0","0","2","1","1","4","3","0","1","2","3","1","2","0","1","1,538,093,888,888"
"51","ALCALDIA DE ACACIAS","892001457","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","40","65","0","11","0","31","0","0","0","6","3","23","35","37","7","19","32","25","11","10","8","7","2,491,547,333,333"
"52","ALCALDIA DE ACANDI","891680050","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","12","0","1","0","2","0","0","0","17","0","3","6","5","6","17","3","0","0","0","0","17","1,292,696,350,000"
"53","ALCALDIA DE ACEVEDO","8911800691","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","5","7","1","5","0","2","0","0","0","0","1","3","4","3","1","0","7","2","1","2","0","0","1,771,262,727,272"
"54","ALCALDIA DE ACHI","800037371","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","9","6","0","1","0","7","0","0","0","3","0","3","9","3","0","4","3","6","2","0","0","3","2,496,467,533,333"
"55","ALCALDIA DE AGUA DE DIOS","890680149","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","7","0","8","0","5","0","0","0","0","0","1","3","9","0","0","2","1","2","5","3","0","1,356,230,846,153"
"56","ALCALDIA DE AGUACHICA","800096561","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","31","1","13","0","11","0","0","0","7","0","3","8","29","4","9","1","12","1","18","3","8","1,819,194,657,894"
"57","ALCALDIA DE AGUADA SANTANDER","890210928","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","4","0","0","0","3","0","0","0","0","2","2","2","1","0","2","3","2","0","0","0","0","2,330,694,857,142"
"58","ALCALDIA DE AGUADAS CALDAS","890801132","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","15","0","3","0","8","0","0","0","11","3","8","5","9","3","16","8","2","1","1","0","12","1,716,306,750,000"
"59","ALCALDIA DE AGUSTIN CODAZZI","800096558","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","18","30","0","9","0","24","0","0","0","0","4","16","15","13","0","11","19","7","5","1","5","0","2,205,452,166,666"
"60","ALCALDIA DE AIPE","892170008","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","10","0","4","0","11","0","0","0","0","2","5","6","9","1","1","13","4","1","1","3","0","2,366,509,590,909"
"61","ALCALDIA DE ALBAN CUNDINAMARCA","899999450","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","5","0","2","0","2","0","0","0","2","0","2","6","1","0","2","2","5","0","0","0","2","801,383,111,111"
"62","ALCALDIA DE ALBAN  NARIÑO","800099054","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","22","13","2","12","0","10","0","0","0","2","2","7","7","17","2","7","9","3","3","11","2","2","1,902,595,971,428"
"63","ALCALDIA DE ALBANIA CAQUETA","891190431","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","5","8","0","1","0","8","0","0","0","0","1","3","5","4","0","2","6","3","1","1","0","0","1,793,268,692,307"
"64","ALCALDIA DE ALBANIA  GUAJIRA","839000360","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","22","23","1","10","0","11","0","0","0","18","0","3","23","14","5","20","4","10","11","0","0","18","2,669,439,733,333"
"65","ALCALDIA DE ALCALA","891901079","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","13","1","8","0","5","0","0","0","3","2","3","8","8","0","4","8","5","1","3","0","3","1,429,192,619,047"
"66","ALCALDIA DE TORO VALLE DEL CAUCA","891900985","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","12","0","5","0","6","0","0","0","0","1","6","4","8","1","0","11","5","3","0","1","0","1,498,131,800,000"
"67","ALCALDIA DE ALEJANDRIA","890983701","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","5","11","0","3","0","3","0","0","0","2","1","1","6","7","1","3","5","1","4","2","1","2","2,053,543,750,000"
"68","ALCALDIA DE ALGARROBO","819003219","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","11","0","4","0","10","0","0","0","2","2","5","4","7","1","2","8","8","1","0","0","2","1,651,558,736,842"
"69","ALCALDIA DE ALGECIRAS","800255101","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","16","9","2","4","0","9","0","0","0","1","5","8","4","5","3","2","16","0","4","2","1","0","1,453,156,400,000"
"70","ALCALDIA DE ALMAGUER","891502664","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","5","1","7","0","3","0","0","0","0","2","2","3","9","2","0","9","1","1","7","0","0","1,865,094,055,555"
"71","ALCALDIA DE ALMEIDA","891801281","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","4","1","0","0","3","0","0","0","2","0","0","2","3","3","2","4","2","0","0","0","1","1,470,208,125,000"
"72","ALCALDIA DE ALPUJARRA","890702017","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","14","6","0","9","0","5","0","0","0","1","3","3","6","8","0","4","8","1","1","6","0","2","1,481,999,400,000"
"73","ALCALDIA DE ALTAMIRA","825000676","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","2","0","0","0","0","0","0","0","0","0","1","2","0","0","0","2","1","0","0","0","0","2,937,252,666,666"
"74","ALCALDIA DE ALTO BAUDO  (PIE DE PATO)","891600062","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","14","11","0","2","0","11","0","0","0","2","6","9","5","4","1","15","8","2","0","0","0","4","3,813,334,280,000"
"76","ALCALDIA DE ALVARADO","890700961","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","9","0","1","0","5","0","0","0","2","0","4","6","6","0","2","5","8","0","1","0","2","1,749,452,687,500"
"77","ALCALDIA DE AMAGA","890981732","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","18","23","3","13","0","9","0","0","0","2","5","10","10","14","2","11","12","7","3","8","0","3","2,201,160,029,411"
"78","ALCALDIA DE AMALFI","890981518","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","18","15","0","6","0","10","0","0","0","7","0","9","5","12","7","8","9","5","4","3","4","7","2,253,318,818,181"
"79","ALCALDIA DE AMBALEMA","800100048","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","13","0","5","0","12","0","0","0","1","0","11","4","10","0","3","13","3","2","3","1","1","1,745,301,120,000"
"81","ALCALDIA DE ANAPOIMA","890680097","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","42","39","8","29","0","13","0","0","0","1","4","19","23","28","7","1","30","26","16","8","0","0","2,029,379,074,074"
"82","ALCALDIA DE ANCUYA","800099055","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","14","16","4","12","0","3","0","0","0","5","0","4","2","17","7","7","3","1","8","8","3","6","1,130,428,333,333"
"83","ALCALDIA DE ANDALUCIA","891900443","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","25","31","0","14","0","20","0","0","0","1","3","17","23","12","1","11","30","14","0","1","0","2","1,816,735,196,428"
"84","ALCALDIA DE ANDES","890980342","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","22","1","5","0","11","0","0","0","2","3","10","6","13","2","3","18","7","1","5","0","3","2,388,548,970,588"
